1.000000000000000000e+00 8.400000000000000000e+01 7.600000000000000000e+01 1.284301474956254817e-10 4.631321962482039136e-12
2.000000000000000000e+00 8.300000000000000000e+01 7.500000000000000000e+01 1.252314643108190431e-10 4.571771442589399606e-12
3.000000000000000000e+00 8.500000000000000000e+01 7.700000000000000000e+01 1.316690656890458633e-10 4.690942372651153564e-12
4.000000000000000000e+00 7.200000000000000000e+01 6.700000000000000000e+01 9.704684077676964280e-11 4.005642731157420441e-12
5.000000000000000000e+00 9.700000000000000000e+01 9.400000000000000000e+01 1.834314042708510791e-10 5.560124131962206650e-12
6.000000000000000000e+00 5.800000000000000000e+01 5.800000000000000000e+01 6.767528448860966578e-11 3.328567545246393779e-12
7.000000000000000000e+00 7.000000000000000000e+01 6.600000000000000000e+01 9.294286989815002037e-11 3.916395781987139439e-12
8.000000000000000000e+00 1.050000000000000000e+02 9.500000000000000000e+01 2.006721054619148282e-10 5.840240805711919843e-12
9.000000000000000000e+00 9.200000000000000000e+01 9.000000000000000000e+01 1.665729356616195284e-10 5.286952106499512093e-12
1.000000000000000000e+01 8.400000000000000000e+01 8.200000000000000000e+01 1.385693696663327675e-10 4.805701409731161148e-12
1.100000000000000000e+01 1.150000000000000000e+02 1.150000000000000000e+02 2.660539944595312390e-10 6.761634478304432557e-12
1.200000000000000000e+01 1.460000000000000000e+02 1.280000000000000000e+02 3.759559204884475508e-10 8.174564507500183160e-12
1.300000000000000000e+01 1.190000000000000000e+02 1.100000000000000000e+02 2.633381313780917265e-10 6.734598254608486331e-12
1.400000000000000000e+01 7.600000000000000000e+01 7.500000000000000000e+01 1.146697745496656032e-10 4.358378897227644830e-12
1.500000000000000000e+01 1.120000000000000000e+02 1.080000000000000000e+02 2.433413320969745997e-10 6.451051485946226151e-12
1.600000000000000000e+01 1.270000000000000000e+02 1.250000000000000000e+02 3.193653808729722456e-10 7.455546154365807849e-12
1.700000000000000000e+01 9.900000000000000000e+01 9.000000000000000000e+01 1.792469633750036356e-10 5.504170969308393276e-12
1.800000000000000000e+01 8.400000000000000000e+01 8.100000000000000000e+01 1.368794993045482285e-10 4.776171699924649426e-12
1.900000000000000000e+01 1.350000000000000000e+02 1.230000000000000000e+02 3.340511590170521760e-10 7.653012920378602496e-12
2.000000000000000000e+01 8.000000000000000000e+01 7.800000000000000000e+01 1.255332268754234075e-10 4.566796434837109569e-12
2.100000000000000000e+01 8.600000000000000000e+01 8.400000000000000000e+01 1.453288511134709494e-10 4.925574438776048193e-12
2.200000000000000000e+01 1.120000000000000000e+02 1.060000000000000000e+02 2.388350111322158463e-10 6.390160064623348340e-12
2.300000000000000000e+01 1.050000000000000000e+02 1.030000000000000000e+02 2.175708090797602700e-10 6.079665920529408831e-12
2.400000000000000000e+01 7.400000000000000000e+01 7.200000000000000000e+01 1.071860629474769027e-10 4.210445379877878673e-12
2.500000000000000000e+01 1.170000000000000000e+02 1.160000000000000000e+02 2.730347684540459513e-10 6.855584203527882254e-12
2.600000000000000000e+01 9.000000000000000000e+01 8.300000000000000000e+01 1.502777571729828413e-10 5.019020246285258589e-12
2.700000000000000000e+01 1.000000000000000000e+02 9.100000000000000000e+01 1.830692891933258263e-10 5.564873773581239497e-12
2.800000000000000000e+01 1.170000000000000000e+02 1.040000000000000000e+02 2.447897924070756627e-10 6.490442354430940073e-12
2.900000000000000000e+01 1.000000000000000000e+02 9.700000000000000000e+01 1.951397917775011271e-10 5.742907237825894049e-12
3.000000000000000000e+01 9.900000000000000000e+01 9.200000000000000000e+01 1.832302292277814684e-10 5.562763203147319890e-12
